Key,Date,From,To,Teams Involved,Player Trade,Rights/Pick Trade
2000-01-19_Bucks_Hornets=Dale Ellis+Jason Hart,2000-01-19,Jason Hart,Dale Ellis,"['Bucks', 'Hornets']",True,True
2000-01-19_Bucks_Hornets=Chris Owens+Dale Ellis,2000-01-19,Chris Owens,Dale Ellis,"['Bucks', 'Hornets']",True,True
2000-02-09_Celtics_Raptors (trade later voided because Williams failed physical)=Alvin Williams+Danny Fortson,2000-02-09,Alvin Williams,Danny Fortson,"['Celtics', 'Raptors (trade later voided because Williams failed physical)']",True,False
2000-02-09_Celtics_Raptors (trade later voided because Williams failed physical)=Alvin Williams+draft pick,2000-02-09,Alvin Williams,draft pick,"['Celtics', 'Raptors (trade later voided because Williams failed physical)']",True,False
2000-02-09_Celtics_Raptors (trade later voided because Williams failed physical)=Danny Fortson+Sean Marks,2000-02-09,Sean Marks,Danny Fortson,"['Celtics', 'Raptors (trade later voided because Williams failed physical)']",True,False
2000-02-09_Celtics_Raptors (trade later voided because Williams failed physical)=Sean Marks+draft pick,2000-02-09,Sean Marks,draft pick,"['Celtics', 'Raptors (trade later voided because Williams failed physical)']",True,False
2000-02-09_Celtics (trade later voided because Williams failed physical)_Raptors=Alvin Williams+Danny Fortson,2000-02-09,Danny Fortson,Alvin Williams,"['Raptors', 'Celtics (trade later voided because Williams failed physical)']",True,False
2000-02-09_Celtics (trade later voided because Williams failed physical)_Raptors=Danny Fortson+Sean Marks,2000-02-09,Danny Fortson,Sean Marks,"['Raptors', 'Celtics (trade later voided because Williams failed physical)']",True,False
2000-02-09_Celtics (trade later voided because Williams failed physical)_Raptors=Alvin Williams+draft pick,2000-02-09,draft pick,Alvin Williams,"['Raptors', 'Celtics (trade later voided because Williams failed physical)']",True,False
2000-02-09_Celtics (trade later voided because Williams failed physical)_Raptors=Sean Marks+draft pick,2000-02-09,draft pick,Sean Marks,"['Raptors', 'Celtics (trade later voided because Williams failed physical)']",True,False
2000-02-11_Celtics_Raptors=Alvin Williams+Danny Fortson,2000-02-11,Danny Fortson,Alvin Williams,"['Celtics', 'Raptors']",True,False
2000-02-11_Celtics_Raptors=Danny Fortson+Sean Marks,2000-02-11,Danny Fortson,Sean Marks,"['Celtics', 'Raptors']",True,False
2000-02-11_Celtics_Raptors=Alvin Williams+draft pick,2000-02-11,draft pick,Alvin Williams,"['Celtics', 'Raptors']",True,False
2000-02-11_Celtics_Raptors=Sean Marks+draft pick,2000-02-11,draft pick,Sean Marks,"['Celtics', 'Raptors']",True,False
2000-02-16_76ers_Bulls_Warriors=Bruce Bowen+Toni Kukoc,2000-02-16,Toni Kukoc,Bruce Bowen,"['Warriors', '76ers', 'Bulls']",True,False
2000-02-16_76ers_Bulls_Warriors=Larry Hughes+Toni Kukoc,2000-02-16,Toni Kukoc,Larry Hughes,"['Warriors', '76ers', 'Bulls']",True,False
2000-02-16_76ers_Bulls_Warriors=Billy Owens+Toni Kukoc,2000-02-16,Toni Kukoc,Billy Owens,"['Warriors', '76ers', 'Bulls']",True,False
2000-02-16_76ers_Bulls_Warriors=John Starks+Toni Kukoc,2000-02-16,John Starks,Toni Kukoc,"['Warriors', '76ers', 'Bulls']",True,False
