0,1,2,3,4,5
2000-01-19_Bucks_Hornets,Bucks Aquires: ;2000 second round pick (#49-Jason Hart);2002 second round pick (#47-Chris Owens),Hornets Aquires: ;Dale Ellis,,,
2000-02-09_Celtics_Raptors (trade later voided because Williams failed physical),Celtics Aquires: ;Alvin Williams;Sean Marks;cash,Raptors (trade later voided because Williams failed physical) Aquires: ;Danny Fortson;draft pick,,,
2000-02-09_Celtics (trade later voided because Williams failed physical)_Raptors,Raptors Aquires: ;Danny Fortson;draft pick,Celtics (trade later voided because Williams failed physical) Aquires: ;Alvin Williams;Sean Marks;cash,,,
2000-02-11_Celtics_Raptors,Celtics Aquires: ;Danny Fortson;draft pick,Raptors Aquires: ;Alvin Williams;Sean Marks;cash,,,
2000-02-16_76ers_Bulls_Warriors,76ers Aquires: ;Toni Kukoc,Bulls Aquires: ;John Starks;Bruce Bowen;first round pick (from Warriors) (protected top 3 in 2000) (2000 #7-Chris Mihm),Warriors Aquires: ;Larry Hughes;Billy Owens,,
2000-02-24_Hawks_Magic,Hawks Aquires: ;2000-2004 (Magic option) conditional second round pick (2004 #42-Viktor Sanikidze),Magic Aquires: ;Anthony Johnson,,,
2000-06-23_Jazz_Nuggets,Jazz Aquires: ;2001 first round pick (#21-Joseph Forte),Nuggets Aquires: ;2000 first round pick (#26-Mamadou N'diaye),,,
2000-06-27_Heat_Nuggets,Heat Aquires: ;Chris Gatling;2000 second round pick (#37-Eddie House),Nuggets Aquires: ;Voshon Lenard;Mark Strickland,,,
2000-06-27_Bucks_Cavaliers_Warriors,Bucks Aquires: ;Jason Caffey;Billy Owens,Cavaliers Aquires: ;J.R. Reid;Robert Traylor / Tractor Traylor,Warriors Aquires: ;Bob Sura;Vinny Del Negro,,
2000-06-28_Clippers_Mavericks,Clippers Aquires: ;Sean Rooks,"Mavericks Aquires: ;Eric Murdock;2000 first round pick (protected, else 2000 or 2001 second round pick) (2000 #31-Dan Langhi)",,,
2000-06-28_Bucks_Rockets,Bucks Aquires: ;rights to Joel Przybilla,Rockets Aquires: ;rights to Jason Collier;2001 first round pick (protected top 10) (#22-Jeryl Sasser),,,
2000-06-28_Bulls_Cavaliers,Bulls Aquires: ;rights to Jamal Crawford;cash,Cavaliers Aquires: ;rights to Chris Mihm,,,
2000-06-28_Celtics_Sonics,Celtics Aquires: ;rights to Josip Sesar,Sonics Aquires: ;2001 second round pick (#38-Michael Wright);future second round pick (2001 #39-Earl Watson),,,
2000-06-28_Clippers_Magic,Clippers Aquires: ;Corey Maggette;Derek Strong;rights to Keyon Dooling;2000 second round pick (#31-Dan Langhi);cash,"Magic Aquires: ;first round pick (top 21 protected in 2003, top 15 protected in 2004, top 14 protected in 2005) (2006 #22-Marcus Williams)",,,
2000-06-28_Lakers_Spurs,Lakers Aquires: ;rights to Corey Hightower,Spurs Aquires: ;2001 second round pick (#55-Robertas Javtokas);2002 second round pick (#56-Randy Holcomb),,,
2000-06-28_Magic_Mavericks,Magic Aquires: ;2000 second round pick (#31-Dan Langhi);2001 first round pick (lottery protected) (#23-Brandon Armstrong);$3M cash,Mavericks Aquires: ;rights to Courtney Alexander,,,
2000-06-28_Knicks_Mavericks,Knicks Aquires: ;Erick Strickland;rights to Pete Mickeal,Mavericks Aquires: ;John Wallace;rights to Donnell Harvey,,,
2000-06-28_Mavericks_Rockets,Mavericks Aquires: ;rights to Eduardo Najera;2001 second round pick (#43-Kyle Hill),Rockets Aquires: ;rights to Dan Langhi,,,
2000-08-01_Heat_Hornets,Heat Aquires: ;Eddie Jones;Anthony Mason (Sr.);Ricky Davis;Dale Ellis,Hornets Aquires: ;Jamal Mashburn;P.J. Brown;Otis Thorpe;Tim James;Rodney Buford,,,
2000-08-03_Cavaliers_Magic,Cavaliers Aquires: ;Matt Harpring,Magic Aquires: ;Andrew DeClercq,,,
2000-08-03_Magic_Pistons,Magic Aquires: ;Grant Hill,Pistons Aquires: ;Ben Wallace;Chucky Atkins,,,
2000-08-03_Magic_Raptors,Magic Aquires: ;Tracy McGrady,Raptors Aquires: ;conditional first round pick (2005 #11-Fran Vazquez),,,
2000-08-16_Celtics_Jazz_Mavericks_Warriors,"Celtics Aquires: ;Robert Pack;John Williams / Hot Rod Williams;2001 first round pick (more favorable of Jazz, Suns picks) (from Jazz) (#21-Joseph Forte);$3M cash",Jazz Aquires: ;Donyell Marshall;Bruno Sundov,Mavericks Aquires: ;Howard Eisley;Dana Barros;Bill Curley,Warriors Aquires: ;Danny Fortson;Adam Keefe,
2000-08-22_Bucks_Pistons,Bucks Aquires: ;Lindsey Hunter,Pistons Aquires: ;Billy Owens,,,
2000-08-22_Grizzlies_Wizards,Grizzlies Aquires: ;Isaac Austin / Ike Austin,Wizards Aquires: ;Dennis Scott;Cherokee Parks;Obinna Ekezie;Felipe Lopez,,,
2000-08-29_Mavericks_Pistons,Mavericks Aquires: ;Christian Laettner;Terry Mills,Pistons Aquires: ;Cedric Ceballos;John Wallace;Eric Murdock;$3M cash;$4M traded player exemption (per R),,,
2000-08-30_Blazers_Cavaliers_Heat,Blazers Aquires: ;Shawn Kemp,Cavaliers Aquires: ;Clarence Weatherspoon;Chris Gatling;Gary Grant;2001 conditional first round pick (from Heat) (#20-Brendan Haywood);cash,Heat Aquires: ;Brian Grant,,
2000-08-31_Blazers_Pacers,Blazers Aquires: ;Dale Davis,Pacers Aquires: ;Jermaine O'Neal;Joe Kleine,,,
2000-09-20_Knicks_Lakers_Sonics_Suns,Knicks Aquires: ;Luc Longley;Glen Rice (Sr.);Travis Knight;Vernon Maxwell;Vladimir Stepania;Lazaro Borrell;2001 first round pick (lottery protected) (#27-Jamaal Tinsley);2001 second round pick (#38-Michael Wright);2001 second round pick (#42-Eric Chenowith);first round pick (lottery protected) (2002 #20-Kareem Rush),Lakers Aquires: ;Horace Grant;Greg Foster;Chuck Person;Emanual Davis,Sonics Aquires: ;Patrick Ewing Sr.,Suns Aquires: ;Chris Dudley;2001 first round pick (lottery protected) (from Knicks) (#18-Jason Collins);cash,
2000-09-25_Nuggets_Wizards,Nuggets Aquires: ;Tracy Murray,Wizards Aquires: ;Ronald Jones / Popeye Jones;second round pick (2002 #38-Rod Grizzard),,,
2000-09-28_Bulls_Rockets,Bulls Aquires: ;Bryce Drew,"Rockets Aquires: ;draft pick(s) (first round, protected top 20 in 2003-04, else 2005 and 2006 second round picks) (2005 #51-Robert Whaley) (2006 #46-Dee Brown (a));$1.8M cap exception",,,
2000-09-29_Kings_Raptors,Kings Aquires: ;Doug Christie,Raptors Aquires: ;Corliss Williamson,,,
2000-10-16_Celtics_Nuggets,Celtics Aquires: ;Bryant Stith;Chris Herren,Nuggets Aquires: ;Robert Pack;Calbert Cheaney,,,
2000-10-17_Mavericks_Pistons,Mavericks Aquires: ;Loy Vaught,Pistons Aquires: ;Dana Barros;Ansu Sesay,,,
2000-11-26_Heat_Pistons,Heat Aquires: ;Cedric Ceballos;2002 second round pick (#53-Tommy Smith),Pistons Aquires: ;2002 second round pick (#37-Tito Maddox),,,
2000-11-28_Clippers_Wizards,Clippers Aquires: ;Cherokee Parks;Obinna Ekezie,Wizards Aquires: ;Tyrone Nesby,,,
2001-01-02_Cavaliers_Hawks,Cavaliers Aquires: ;Jim Jackson;Anthony Johnson;Larry Robinson (b. 1968-01-11),Hawks Aquires: ;Brevin Knight,,,
2001-01-12_Nuggets_Raptors,Nuggets Aquires: ;Kevin Willis;Aleksandar Radojevic;Garth Joseph;2001 or 2002 second round pick (2001 #46-Ousmane Cisse),Raptors Aquires: ;Keon Clark;Tracy Murray;Mamadou N'diaye,,,
2001-01-26_Suns_Warriors,Suns Aquires: ;Vinny Del Negro,Warriors Aquires: ;Corie Blount;Ruben Garces;Paul McPherson,,,
2001-01-30_Grizzlies_Knicks,Grizzlies Aquires: ;Erick Strickland;2001 first round pick (#27-Jamaal Tinsley);2001 second round pick (#47-Antonis Fotsis),Knicks Aquires: ;Othella Harrington,,,
2001-02-22_76ers_Hawks,76ers Aquires: ;Dikembe Mutombo;Roshown McLeod,Hawks Aquires: ;Toni Kukoc;Theo Ratliff;Nazr Mohammed;Juan Sanchez / Pepe Sanchez,,,
2001-02-22_Knicks_Raptors,Knicks Aquires: ;Mark Jackson;Tyrone Bogues / Muggsy Bogues,"Raptors Aquires: ;Chris Childs;first round pick (lottery protected in 2001, unprotected in 2002) (2002 #20-Kareem Rush)",,,
2001-02-22_Mavericks_Wizards,Mavericks Aquires: ;Juwan Howard;Calvin Booth;Obinna Ekezie,Wizards Aquires: ;Christian Laettner;Loy Vaught;Etan Thomas;Hubert Davis;Courtney Alexander;$3M cash,,,
2001-02-22_Pistons_Raptors,Pistons Aquires: ;Corliss Williamson;Tyrone Corbin;Kornel David;first round pick (2005 #11-Fran Vazquez),Raptors Aquires: ;Jerome Williams;Eric Montross,,,
2001-06-02_Magic_Rockets,Magic Aquires: ;2001 first round pick (#22-Jeryl Sasser),Rockets Aquires: ;2001 first round pick (#23-Brandon Armstrong),,,
2001-06-02_Magic_Pistons,Magic Aquires: ;first round pick (2005 #11-Fran Vazquez),Pistons Aquires: ;Magic agreed to delay decision to take a draft pick owed from Suns from a previous trade (to the benefit of Pistons-it allowed Pistons to defer first round pick owed to them by Grizzlies in Otis Thorpe trade until 2002),,,
2001-06-14_Bulls_Hornets,Bulls Aquires: ;2001 second round pick (#44-Sean Lampley),Hornets Aquires: ;rights to Roberto Duenas,,,
2001-06-26_76ers_Clippers,76ers Aquires: ;2001 second round pick (#36-Damone Brown),Clippers Aquires: ;cash,,,
2001-06-27_Grizzlies_Kings,Grizzlies Aquires: ;Jason Williams;Nick Anderson,Kings Aquires: ;Mike Bibby;Brent Price,,,
2001-06-27_Bulls_Clippers,Bulls Aquires: ;Brian Skinner;rights to Tyson Chandler,Clippers Aquires: ;Elton Brand,,,
2001-06-27_Sonics_Wizards,Sonics Aquires: ;rights to Predrag Drobnjak / Peja Drobnjak,Wizards Aquires: ;rights to Bobby Simmons,,,
2001-06-27_Hawks_Rockets,Hawks Aquires: ;2002-2004 first round pick (Pistons choice) (2003 #25-Carlos Delfino),Rockets Aquires: ;rights to Terence Morris,,,
2001-06-27_Nets_Rockets,Nets Aquires: ;rights to Richard Jefferson;rights to Jason Collins;rights to Brandon Armstrong,Rockets Aquires: ;rights to Eddie Griffin,,,
2001-06-27_Cavaliers_Magic,Cavaliers Aquires: ;Michael Doleac,Magic Aquires: ;rights to Brendan Haywood,,,
2001-06-27_Hawks_Pacers (trade was made official on 07-19),"Hawks Aquires: ;first round pick (top-18 protected for 2 years, lottery protected for 4 years) (2003 #21-Boris Diaw)",Pacers (trade was made official on 07-19) Aquires: ;rights to Jamaal Tinsley,,,
2001-06-27_Hawks (trade was made official on 07-19)_Pacers,Pacers Aquires: ;rights to Jamaal Tinsley,"Hawks (trade was made official on 07-19) Aquires: ;first round pick (top-18 protected for 2 years, lottery protected for 4 years) (2003 #21-Boris Diaw)",,,
2001-06-28_Pistons_Suns,Pistons Aquires: ;Clifford Robinson (R.),Suns Aquires: ;John Wallace;Jud Buechler,,,
2001-06-28_Bucks_Lakers,Bucks Aquires: ;Greg Foster,Lakers Aquires: ;Lindsey Hunter,,,
2001-07-13_Bulls_Raptors (effective 2001-07-18),Bulls Aquires: ;Charles Oakley;2002 second round pick (#42-Jason Jennings),Raptors (effective 2001-07-18) Aquires: ;Brian Skinner,,,
2001-07-13_Bulls (effective 2001-07-18)_Raptors,Raptors Aquires: ;Brian Skinner,Bulls (effective 2001-07-18) Aquires: ;Charles Oakley;2002 second round pick (#42-Jason Jennings),,,
2001-07-18_Nets_Suns,Nets Aquires: ;Jason Kidd;Chris Dudley,Suns Aquires: ;Stephon Marbury;Johnny Newman;Soumaila Samake,,,
2001-07-18_Pistons_Suns,Pistons Aquires: ;Clifford Robinson (R.),Suns Aquires: ;Jud Buechler;John Wallace;$1.6M traded player exception,,,
2001-07-18_Pistons_Raptors,Pistons Aquires: ;rights to Zeljko Rebraca,Raptors Aquires: ;2002 second round pick (#37-Tito Maddox);2002 second round pick (#52-Rasual Butler),,,
2001-07-19_Grizzlies_Hawks,Grizzlies Aquires: ;Lorenzen Wright;Brevin Knight;rights to Pau Gasol,Hawks Aquires: ;Shareef Abdur-Rahim;rights to Jamaal Tinsley,,,
2001-07-19_Blazers_Bulls,"Blazers Aquires: ;second round pick (protected #51-57 in 2002, unprotected in 2003) (2002 #42-Jason Jennings)",Bulls Aquires: ;Greg Anthony,,,
2001-07-24_Blazers_Spurs,Blazers Aquires: ;Derek Anderson;Steve Kerr;2003 second round pick (#58-Andreas Glyniadakis),Spurs Aquires: ;Steve Smith (Delano),,,
2001-08-01_Magic_Wizards,"Magic Aquires: ;Laron Profit;first round pick (unknown protection in 2004, protected top 13 in 2005, top 3 in 2006) (2005 #20-Julius Hodge)",Wizards Aquires: ;rights to Brendan Haywood,,,
2001-08-02_Raptors_Rockets,Raptors Aquires: ;Hakeem Olajuwon,Rockets Aquires: ;first round pick (lottery protected 2002-08) (2002 #15-Bostjan Nachbar);2002 second round pick (#37-Tito Maddox),,,
2001-08-03_76ers_Celtics,76ers Aquires: ;Jerome Moiso,Celtics Aquires: ;Roshown McLeod;first round pick (lottery protected 2003-07) (2003 #20-Dahntay Jones),,,
2001-08-03_76ers_Cavaliers,76ers Aquires: ;Matt Harpring;Robert Traylor / Tractor Traylor;Cedric Henderson (E.),Cavaliers Aquires: ;Tyrone Hill;Jumaine Jones,,,
2001-08-10_Knicks_Mavericks_Rockets,Knicks Aquires: ;Shandon Anderson;Howard Eisley,Mavericks Aquires: ;Tyrone Bogues / Muggsy Bogues;$3.2M trade exception,Rockets Aquires: ;Glen Rice (Sr.);rights to Kyle Hill;future considerations from Knicks (added 08-17) (?);future considerations from Mavericks (added 08-17) (?-?),,
2001-08-17_Mavericks_Rockets</td>,Mavericks Aquires: ,Rockets</td> Aquires: ,,,
2001-08-17_Mavericks</td>_Rockets,Rockets Aquires: ;future considerations (?),Mavericks</td> Aquires: ,,,
2001-08-22_Heat_Mavericks,Heat Aquires: ;2003 or 2004 second round pick (Mavericks option) (2004 #53-Matt Freije);trade exception,Mavericks Aquires: ;Tim Hardaway Sr.,,,
2001-09-07_Kings_Pistons,Kings Aquires: ;Mateen Cleaves,Pistons Aquires: ;Jon Barry;2003 first round pick (#25-Carlos Delfino),,,
2001-09-25_Mavericks_Nuggets,Mavericks Aquires: ;2003-2007 (Nuggets option) second round pick (?-?) or future considerations (?),Nuggets Aquires: ;rights to Kenny Satterfield,,,
2001-10-01_Bulls_Heat,Bulls Aquires: ;2003 conditional second round pick (#53-Tommy Smith),Heat Aquires: ;rights to Sean Lampley,,,
2001-10-22_Bucks_Nuggets_Rockets,Bucks Aquires: ;Aleksandar Radojevic;2002 second round pick (#33-Dan Gadzuric),Nuggets Aquires: ;Scott Williams;first round pick (from Bucks) (2004 #17-Josh Smith),Rockets Aquires: ;Kevin Willis,,
2001-10-25_76ers_Hornets_Warriors,76ers Aquires: ;Derrick Coleman;Corie Blount;Vonteego Cummings,Hornets Aquires: ;George Lynch;Jerome Moiso;Robert Traylor / Tractor Traylor;Chris Porter,"Warriors Aquires: ;Cedric Henderson (E.);first round pick (from 76ers) (protected top 8 in 2005, top 5 in 2006) (2005 #16-Joey Graham);cash",,
2001-10-26_Cavaliers_Heat_Raptors,Cavaliers Aquires: ;Ricky Davis;Brian Skinner,Heat Aquires: ;Chris Gatling,Raptors Aquires: ;Don MacLean;cash,,
2001-10-29_Blazers_Clippers,Blazers Aquires: ;rights to Doron Sheffer,Clippers Aquires: ;Will Perdue,,,
2001-10-29_Bulls_Suns,Bulls Aquires: ;Soumalia Samake;2003 second round pick (#45-Matt Bonner),Suns Aquires: ;Jake Voskuhl,,,
2001-11-15_Clippers_Magic_Suns,Clippers Aquires: ;Vinny Del Negro;cash,Magic Aquires: ;Jud Buechler;Magic option to swap 2005 second round picks with Clippers (not exercised),Suns Aquires: ;Charles Outlaw / Bo Outlaw;2002 first round pick (#9-Amare Stoudemire / Amar'e Stoudemire),,
2002-02-19_Bulls_Pacers,Bulls Aquires: ;Jalen Rose;Travis Best;Norm Richardson;conditional second round pick (2002 #43-Lonny Baxter),Pacers Aquires: ;Ron Artest / Metta World Peace;Brad Miller;Ron Mercer;Kevin Ollie,,,
